Date,s_adjclose,m_adjclose,s_returns,m_returns
2014-03-31,116.5880126953125,1872.3399658203125,0.03877020742532952,0.006908248426944213
2014-04-30,118.9986343383789,1883.949951171875,0.02046555533901044,0.0061816433655846855
2014-05-31,112.3139419555664,1923.5699462890625,-0.05781401365545966,0.020812196013358243
2014-06-30,110.43144226074219,1960.22998046875,-0.01690310686141435,0.018878996713560546
2014-07-31,116.7672348022461,1930.6700439453125,0.05578761070582246,-0.01519468763799153
2014-08-31,117.84382629394531,2003.3699951171875,0.009177734788007427,0.03696364440798924
2014-09-30,116.33023834228516,1972.2900390625,-0.012927213201723423,-0.01563543610528987
2014-10-31,100.74639892578125,2018.050048828125,-0.14382657115697245,0.022936398829564386
2014-11-30,100.06001281738281,2067.56005859375,-0.006836323358840766,0.024237473563306713
2014-12-31,98.99258422851562,2058.89990234375,-0.010725193610754432,-0.004197384221126008
2015-01-31,94.59330749511719,1994.989990234375,-0.045458212285744405,-0.031532779266425476
2015-02-28,100.61897277832031,2104.5,0.06175410782905559,0.053438876325627216
2015-03-31,99.72429656982422,2067.889892578125,-0.00893149202241585,-0.017549197433963104
2015-04-30,106.42845916748047,2085.510009765625,0.06506367045433142,0.008484722544635536
2015-05-31,106.20722961425781,2107.389892578125,-0.002080832566862587,0.010436729675336851
2015-06-30,101.83123016357422,2063.110107421875,-0.04207534528255844,-0.021235558871758677
2015-07-31,101.41178131103516,2103.840087890625,-0.0041275657647572555,0.019549682990019603
2015-08-31,93.35323333740234,1972.1800537109375,-0.08279876480380875,-0.06462473099312395
2015-09-30,91.51004028320312,1920.030029296875,-0.019941809970839993,-0.02679873096346286
2015-10-31,88.42330169677734,2079.360107421875,-0.034313167368877434,0.07971937954339872
2015-11-30,88.8321762084961,2080.409912109375,0.004613400293623266,0.0005047417068051869
2015-12-31,87.68531799316406,2043.93994140625,-0.012994455402684436,-0.01768565839025723
2016-01-31,79.51062774658203,1940.239990234375,-0.09786377858218617,-0.052067617305496784
2016-02-29,84.33924865722656,1932.22998046875,0.05895664470757358,-0.00413690551499243
2016-03-31,97.48284912109375,2059.739990234375,0.14482911630001188,0.06390499028682897
2016-04-30,93.93626403808594,2065.300048828125,-0.03705994593268281,0.0026957614511553935
